day,name,desc,reward
登陆天数,名称,描述,奖励
int,string,string,string
0,每日登录,金币*10000,200001+10000
1,登陆1天,金币*10000初级魂丹*1,200001+10000;60036+1
2,登陆2天,金币*10000初级魂丹*1,200001+10000;60036+1
3,登陆3天,金币*10000初级魂丹*1,200001+10000;60036+1
4,登陆4天,金币*10000初级魂丹*1,200001+10000;60036+1
5,登陆5天,金币*10000初级魂丹*1,200001+10000;60036+1
6,登陆6天,金币*10000初级魂丹*2,200001+10000;60036+2
7,登陆7天,金币*10000初级魂丹*2,200001+10000;60036+2
8,登陆8天,金币*10000初级魂丹*2,200001+10000;60036+2
9,登陆9天,金币*10000中级魂丹*1,200001+10000;60037+1
10,登陆10天,金币*10000中级魂丹*1,200001+10000;60037+1
11,登陆11天,金币*10000中级魂丹*1,200001+10000;60037+1
12,登陆12天,金币*10000中级魂丹*2,200001+10000;60037+1
13,登陆13天,金币*10000高级魂丹*1,200001+10000;60038+1
14,登陆14天,金币*10000高级魂丹*1,200001+10000;60038+1
15,登陆15天,金币*10000高级魂丹*1,200001+10000;60038+1
16,登陆16天,金币*10000高级魂丹*2,200001+10000;60038+2
