2017/04/23 00:04:11 [release] Leaf 1.1.2 starting up
2017/04/23 00:04:11 [debug  ] Game Module Run	111
2017/04/23 00:04:11 [debug  ] Gate Module Run
2017/04/23 00:04:21 [debug  ] recv Msg:[1 0 0 0 1 0 0 0 104 101 108 108 111 32 120 105 97 111 109 105 110 103 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
2017/04/23 00:04:30 [debug  ] read message: EOF
2017/04/23 00:04:30 [debug  ] gs read message: read tcp 127.0.0.1:55724->127.0.0.1:8890: use of closed network connection
2017/04/23 00:07:02 [debug  ] recv Msg:[1 0 0 0 1 0 0 0 104 101 108 108 111 32 120 105 97 111 109 105 110 103 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
2017/04/23 00:07:22 [debug  ] read message: EOF
2017/04/23 00:07:22 [debug  ] gs read message: read tcp 127.0.0.1:55943->127.0.0.1:8890: use of closed network connection
2017/04/23 00:08:33 [debug  ] recv Msg:[1 0 0 0 1 0 0 0 104 101 108 108 111 32 120 105 97 111 109 105 110 103 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
2017/04/23 00:08:55 [debug  ] read message: EOF
2017/04/23 00:08:55 [debug  ] gs read message: read tcp 127.0.0.1:56022->127.0.0.1:8890: use of closed network connection
2017/04/23 00:09:19 [debug  ] recv Msg:[1 0 0 0 1 0 0 0 104 101 108 108 111 32 120 105 97 111 109 105 110 103 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
