2017/06/27 00:07:00 [release] Leaf 1.1.2 starting up
2017/06/27 00:07:00 [debug  ] Gate Module Run
2017/06/27 00:07:06 [error  ] connect 127.0.0.1:8890 err:dial tcp 127.0.0.1:8890: connectex: No connection could be made because the target machine actively refused it.
2017/06/27 00:07:06 [debug  ] read message: read tcp 127.0.0.1:11000->127.0.0.1:54888: use of closed network connection
2017/06/27 00:16:34 [debug  ] read message: EOF
2017/06/27 00:16:34 [error  ] newGSConn io.ReadFull error1:read tcp 127.0.0.1:55256->127.0.0.1:8890: use of closed network connection
2017/06/27 00:17:36 [debug  ] read message: EOF
2017/06/27 00:17:36 [error  ] newGSConn io.ReadFull error1:read tcp 127.0.0.1:55284->127.0.0.1:8890: use of closed network connection
2017/06/27 00:18:42 [debug  ] read message: EOF
2017/06/27 00:18:42 [error  ] newGSConn io.ReadFull error1:read tcp 127.0.0.1:55328->127.0.0.1:8890: use of closed network connection
2017/06/27 00:27:25 [debug  ] read message: EOF
2017/06/27 00:27:25 [error  ] newGSConn io.ReadFull error1:read tcp 127.0.0.1:55623->127.0.0.1:8890: use of closed network connection
2017/06/27 00:31:05 [debug  ] read message: EOF
2017/06/27 00:31:05 [error  ] newGSConn io.ReadFull error1:read tcp 127.0.0.1:55764->127.0.0.1:8890: use of closed network connection
2017/06/27 00:34:18 [error  ] newGSConn io.ReadFull error1:EOF
2017/06/27 00:34:18 [debug  ] read message: read tcp 127.0.0.1:11000->127.0.0.1:55866: use of closed network connection
2017/06/27 00:34:33 [debug  ] read message: EOF
2017/06/27 00:34:33 [error  ] newGSConn io.ReadFull error1:read tcp 127.0.0.1:55900->127.0.0.1:8890: use of closed network connection
2017/06/27 00:36:28 [error  ] newGSConn io.ReadFull error1:EOF
2017/06/27 00:36:28 [debug  ] read message: read tcp 127.0.0.1:11000->127.0.0.1:55951: use of closed network connection
2017/06/27 00:37:57 [debug  ] read message: EOF
2017/06/27 00:37:57 [error  ] newGSConn io.ReadFull error1:read tcp 127.0.0.1:56003->127.0.0.1:8890: use of closed network connection
2017/06/27 00:39:53 [debug  ] read message: EOF
2017/06/27 00:39:53 [error  ] newGSConn io.ReadFull error1:read tcp 127.0.0.1:56127->127.0.0.1:8890: use of closed network connection
2017/06/27 00:40:46 [debug  ] read message: EOF
2017/06/27 00:40:46 [error  ] newGSConn io.ReadFull error1:read tcp 127.0.0.1:56155->127.0.0.1:8890: use of closed network connection
2017/06/27 00:41:05 [debug  ] read message: EOF
2017/06/27 00:41:05 [error  ] newGSConn io.ReadFull error1:read tcp 127.0.0.1:56168->127.0.0.1:8890: use of closed network connection
2017/06/27 00:41:26 [debug  ] read message: EOF
2017/06/27 00:41:26 [error  ] newGSConn io.ReadFull error1:read tcp 127.0.0.1:56175->127.0.0.1:8890: use of closed network connection
2017/06/27 00:43:15 [debug  ] read message: EOF
2017/06/27 00:43:15 [error  ] newGSConn io.ReadFull error1:read tcp 127.0.0.1:56251->127.0.0.1:8890: use of closed network connection
2017/06/27 00:43:45 [error  ] newGSConn io.ReadFull error1:EOF
2017/06/27 00:43:45 [debug  ] read message: read tcp 127.0.0.1:11000->127.0.0.1:56263: use of closed network connection
2017/06/27 00:44:19 [debug  ] read message: EOF
2017/06/27 00:44:19 [error  ] newGSConn io.ReadFull error1:read tcp 127.0.0.1:56405->127.0.0.1:8890: use of closed network connection
2017/06/27 00:44:54 [debug  ] read message: EOF
2017/06/27 00:44:54 [error  ] newGSConn io.ReadFull error1:read tcp 127.0.0.1:56423->127.0.0.1:8890: use of closed network connection
2017/06/27 00:45:01 [debug  ] read message: EOF
2017/06/27 00:45:01 [error  ] newGSConn io.ReadFull error1:read tcp 127.0.0.1:56436->127.0.0.1:8890: use of closed network connection
2017/06/27 00:45:34 [debug  ] read message: EOF
2017/06/27 00:45:34 [error  ] newGSConn io.ReadFull error1:read tcp 127.0.0.1:56461->127.0.0.1:8890: use of closed network connection
